die Schnellstraße,dual carriageway,,lang/de_lessons/audio/die_schnellstraße.mp3
die einspurige Landstraße,single-track road,,lang/de_lessons/audio/die_einspurige_landstraße.mp3
der Asphalt,tarmac,,lang/de_lessons/audio/der_asphalt.mp3
die Ecke,corner,,lang/de_lessons/audio/die_ecke.mp3
die Ausfahrt,exit,,lang/de_lessons/audio/die_ausfahrt.mp3
die Zufahrtsstraße,slip road,,lang/de_lessons/audio/die_zufahrtsstraße.mp3
die Parkbucht,layby,,lang/de_lessons/audio/die_parkbucht.mp3
die Geschwindigkeitsbegrenzung,speed limit,,lang/de_lessons/audio/die_geschwindigkeitsbegrenzung.mp3
die Umleitung,diversion,,lang/de_lessons/audio/die_umleitung.mp3
der Führerschein,driving licence,,lang/de_lessons/audio/der_führerschein.mp3
die Autovermietung,car hire,,lang/de_lessons/audio/die_autovermietung.mp3
das bleifreie Benzin,unleaded petrol,,lang/de_lessons/audio/das_bleifreie_benzin.mp3
der Diesel,diesel,,lang/de_lessons/audio/der_diesel.mp3
die Straßenarbeiten,roadworks,,lang/de_lessons/audio/die_straßenarbeiten.mp3
der Behindertenparkplatz,accessible parking space,,lang/de_lessons/audio/der_behindertenparkplatz.mp3
die Brücke,bridge,,lang/de_lessons/audio/die_brücke.mp3
der Parkplatz,car park,,lang/de_lessons/audio/der_parkplatz.mp3
die Straße,road,,lang/de_lessons/audio/die_straße.mp3
der Kreisverkehr,roundabout,,lang/de_lessons/audio/der_kreisverkehr.mp3
