die Straße,street,,lang/de_lessons/audio/die_straße.mp3
der Pendler/die Pendlerin,commuter,,lang/de_lessons/audio/der_pendler-die_pendlerin.mp3
der Fahrer/die Fahrerin,driver,,lang/de_lessons/audio/der_fahrer-die_fahrerin.mp3
der Passagier/die Passagierin,passenger,,lang/de_lessons/audio/der_passagier-die_passagierin.mp3
der Fußgänger/die Fußgängerin,pedestrian,,lang/de_lessons/audio/der_fußgänger-die_fußgängerin.mp3
der Verkehr,traffic,,lang/de_lessons/audio/der_verkehr.mp3
der Verkehrsstau,traffic jam,,lang/de_lessons/audio/der_verkehrsstau.mp3
die Hauptverkehrszeit,rush hour,,lang/de_lessons/audio/die_hauptverkehrszeit.mp3
die öffentlichen Verkehrsmittel,public transport,,lang/de_lessons/audio/die_öffentlichen_verkehrsmittel.mp3
das Taxi,taxi,,lang/de_lessons/audio/das_taxi.mp3
der Taxistand,taxi rank,,lang/de_lessons/audio/der_taxistand.mp3
die Anweisungen,directions,,lang/de_lessons/audio/die_anweisungen.mp3
die Strecke,route,,lang/de_lessons/audio/die_strecke.mp3
gehen,to walk,,lang/de_lessons/audio/gehen.mp3
fahren,to drive,,lang/de_lessons/audio/fahren.mp3
zurückkehren,to return,,lang/de_lessons/audio/zurückkehren.mp3
überqueren,to cross,,lang/de_lessons/audio/überqueren.mp3
umdrehen,to turn,,lang/de_lessons/audio/umdrehen.mp3
pendeln,to commute,,lang/de_lessons/audio/pendeln.mp3
die Landkarte,map,,lang/de_lessons/audio/die_landkarte.mp3
die Fahrkarte,ticket,,lang/de_lessons/audio/die_fahrkarte.mp3
der Zeitplan,timetable,,lang/de_lessons/audio/der_zeitplan.mp3
anhalten,to stop,,lang/de_lessons/audio/anhalten.mp3
