Wie alt sind Sie?,How old are you?,,audio/wie_alt_sind_sie.mp3
Ich komme aus,I'm from,,audio/ich_komme_aus.mp3
Darf ich fragen wie alt Sie sind?,May I ask how old you are,,audio/darf_ich_fragen_wie_alt_sie_sind.mp3
Wann haben Sie Geburtstag?,When is your birthday,,audio/wann_haben_sie_geburtstag.mp3
Ich bin zwanzig Jahre alt,I am twenty years old,,audio/ich_bin_zwanzig_jahre_alt.mp3
Ich habe am 15 August Geburtstag,My birthday is on 15th of August,,audio/ich_habe_am_15_august_geburtstag.mp3
Ich bin in München geboren,I was born in Munich,,audio/ich_bin_in_münchen_geboren.mp3
Ich bin älter als,I'm older than,,audio/ich_bin_älter_als.mp3
Ich bin jünger als,I'm younger than,,audio/ich_bin_jünger_als.mp3
Wo kommen Sie her?,Where are you from?,,audio/wo_kommen_sie_her.mp3
Wo wohnen Sie?,Where do you live?,,audio/wo_wohnen_sie.mp3
Ich wohne in,I live in,,audio/ich_wohne_in.mp3
Ich bin britisch,I'm British,,audio/ich_bin_britisch.mp3
