Ja,Yes,,audio/ja.mp3
Nein,No,,audio/nein.mp3
Ich weiß nicht,I don't want,,audio/ich_weiß_nicht.mp3
Bitte,Please,,audio/bitte.mp3
Ja bitte,Yes please,,audio/ja_bitte.mp3
Vielen Dank,Thankyou,,audio/vielen_dank.mp3
Nein danke,No thanks,,audio/nein_danke.mp3
Entschuldigung,Excuse me,,audio/entschuldigung.mp3
Wie bitte?,Sorry?,,audio/wie_bitte.mp3
Es tut mir leid,I'm sorry,,audio/es_tut_mir_leid.mp3
Einverstanden!,Ok!,,audio/einverstanden.mp3
Bitte,You're welcome,,audio/bitte.mp3
Ich verstehe nicht,I don’t understand,,audio/ich_verstehe_nicht.mp3
