der Radfahrer/die Radfahrerin,cyclist,,
das Mountainbike,mountain bike,,
das Rennrad,road bike,,
das Hybridrad,hybrid bike,,
der Fahrradständer,bike stand,,
der Fahrradträger,bike rack,,
der Kindersitz,child seat,,
der Fahrradweg,cycle lane,,
der Radweg,cycle path,,
das Reparaturkästchen,puncture repair kit,,
die Warnweste,reflective vest,,
die Radlerhose,cycling shorts,,
radfahren,to cycle,,
eine Fahrradfahrt machen,to go for a bike ride,,
die Klingel,bell,,
das Fahrradschloss,bike lock,,
der Frontscheinwerfer,front light,,
der Helm,helmet,,
die Fahrradpumpe,pump,,
der Reflektor,reflector,,
